Ticker,Status,Rows,EarliestDate,LatestDate,MissingValues,ErrorMessage
IEX,Downloaded,1372,2021-01-01,2026-07-17,0,
INDHOTEL,Downloaded,1372,2021-01-01,2026-07-17,0,
IOC,Downloaded,1372,2021-01-01,2026-07-17,0,
IOB,Downloaded,1372,2021-01-01,2026-07-17,0,
IRCTC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
IRFC,UpToDate,1353,2021-01-29,2026-07-17,0,Already up to date
IREDA,Downloaded,653,2023-11-29,2026-07-17,0,
IGL,Downloaded,1372,2021-01-01,2026-07-17,0,
INDUSTOWER,Downloaded,1372,2021-01-01,2026-07-17,0,
INDUSINDBK,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NAUKRI,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
INFY,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
INOXWIND,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
INTELLECT,Downloaded,1372,2021-01-01,2026-07-17,0,
INDIGO,Downloaded,1371,2021-01-01,2026-07-17,0,
IGIL,Downloaded,386,2024-12-30,2026-07-17,0,
IKS,Downloaded,392,2024-12-19,2026-07-17,0,
IPCALAB,Downloaded,1371,2021-01-01,2026-07-17,0,
JKCEMENT,Downloaded,1372,2021-01-01,2026-07-17,0,
JBMA,Downloaded,1372,2021-01-01,2026-07-17,0,
JKTYRE,Downloaded,1372,2021-01-01,2026-07-17,0,
JMFINANCIL,Downloaded,1372,2021-01-01,2026-07-17,0,
JSWCEMENT,Downloaded,230,2025-08-14,2026-07-17,0,
JSWDULUX,Downloaded,1372,2021-01-01,2026-07-17,0,
JSWENERGY,Downloaded,1372,2021-01-01,2026-07-17,0,
JSWINFRA,Downloaded,691,2023-10-03,2026-07-17,0,
JSWSTEEL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
JAINREC,Downloaded,196,2025-10-06,2026-07-17,0,
JPPOWER,Downloaded,1372,2021-01-01,2026-07-17,0,
J&KBANK,Downloaded,1372,2021-01-01,2026-07-17,0,
JINDALSAW,Downloaded,1372,2021-01-01,2026-07-17,0,
JSL,Downloaded,1372,2021-01-01,2026-07-17,0,
JINDALSTEL,Downloaded,1372,2021-01-01,2026-07-17,0,
JIOFIN,Downloaded,720,2023-08-21,2026-07-17,0,
JUBLFOOD,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
JUBLINGREA,Downloaded,1319,2021-03-19,2026-07-17,0,
JUBLPHARMA,Downloaded,1371,2021-01-01,2026-07-17,0,
JWL,Downloaded,1372,2021-01-01,2026-07-17,0,
JYOTICNC,Downloaded,620,2024-01-16,2026-07-17,0,
KPRMILL,Downloaded,1372,2021-01-01,2026-07-17,0,
KEI,Downloaded,1372,2021-01-01,2026-07-17,0,
KPITTECH,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
KAJARIACER,Downloaded,1372,2021-01-01,2026-07-17,0,
KPIL,Downloaded,1371,2021-01-01,2026-07-17,0,
KALYANKJIL,Downloaded,1314,2021-03-26,2026-07-17,0,
KARURVYSYA,Downloaded,1372,2021-01-01,2026-07-17,0,
KAYNES,UpToDate,905,2022-11-22,2026-07-17,0,Already up to date
KEC,Downloaded,1372,2021-01-01,2026-07-17,0,
KFINTECH,Downloaded,878,2022-12-29,2026-07-17,0,
KIRLOSENG,Downloaded,1371,2021-01-01,2026-07-17,0,
KOTAKBANK,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
KIMS,UpToDate,1253,2021-06-28,2026-07-17,0,Already up to date
LTF,Downloaded,1372,2021-01-01,2026-07-17,0,
LTTS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
LGEINDIA,Downloaded,190,2025-10-14,2026-07-17,0,
LICHSGFIN,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
LTFOODS,Downloaded,1372,2021-01-01,2026-07-17,0,
LTM,Downloaded,1372,2021-01-01,2026-07-17,0,
LT,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
LATENTVIEW,Downloaded,1153,2021-11-23,2026-07-17,0,
LAURUSLABS,Downloaded,1372,2021-01-01,2026-07-17,0,
THELEELA,Downloaded,282,2025-06-02,2026-07-17,0,
LEMONTREE,Downloaded,1372,2021-01-01,2026-07-17,0,
LENSKART,Downloaded,173,2025-11-10,2026-07-17,0,
LICI,Downloaded,1034,2022-05-17,2026-07-17,0,
LINDEINDIA,Downloaded,1371,2021-01-01,2026-07-17,0,
LLOYDSME,Downloaded,744,2023-07-17,2026-07-17,0,
LODHA,Downloaded,1301,2021-04-19,2026-07-17,0,
LUPIN,Downloaded,1372,2021-01-01,2026-07-17,0,
MMTC,Downloaded,1372,2021-01-01,2026-07-17,0,
MRF,Downloaded,1371,2021-01-01,2026-07-17,0,
MGL,Downloaded,1371,2021-01-01,2026-07-17,0,
M&MFIN,Downloaded,1372,2021-01-01,2026-07-17,0,
M&M,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MANAPPURAM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MRPL,Downloaded,1372,2021-01-01,2026-07-17,0,
MANKIND,Downloaded,791,2023-05-09,2026-07-17,0,
MARICO,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MARUTI,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MFSL,Downloaded,1372,2021-01-01,2026-07-17,0,
MAXHEALTH,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MAZDOCK,Downloaded,1372,2021-01-01,2026-07-17,0,
MEESHO,Downloaded,151,2025-12-10,2026-07-17,0,
MINDACORP,Downloaded,1371,2021-01-01,2026-07-17,0,
MSUMI,Downloaded,1067,2022-03-28,2026-07-17,0,
MOTILALOFS,Downloaded,1372,2021-01-01,2026-07-17,0,
MPHASIS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MCX,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
MUTHOOTFIN,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NATCOPHARM,Downloaded,1372,2021-01-01,2026-07-17,0,
NBCC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NCC,Downloaded,1372,2021-01-01,2026-07-17,0,
NHPC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NLCINDIA,Downloaded,1372,2021-01-01,2026-07-17,0,
NMDC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NSLNISP,Downloaded,842,2023-02-20,2026-07-17,0,
NTPCGREEN,Downloaded,409,2024-11-27,2026-07-17,0,
NTPC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NH,Downloaded,1372,2021-01-01,2026-07-17,0,
NATIONALUM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NAVA,Downloaded,1372,2021-01-01,2026-07-17,0,
NAVINFLUOR,Downloaded,1371,2021-01-01,2026-07-17,0,
NESTLEIND,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
NETWEB,Downloaded,736,2023-07-27,2026-07-17,0,
NEULANDLAB,Downloaded,1372,2021-01-01,2026-07-17,0,
NEWGEN,Downloaded,1372,2021-01-01,2026-07-17,0,
NAM-INDIA,Downloaded,1372,2021-01-01,2026-07-17,0,
NIVABUPA,Downloaded,415,2024-11-14,2026-07-17,0,
NUVAMA,Downloaded,695,2023-09-26,2026-07-17,0,
NUVOCO,Downloaded,1215,2021-08-23,2026-07-17,0,
OBEROIRLTY,Downloaded,1371,2021-01-01,2026-07-17,0,
ONGC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
OIL,Downloaded,1372,2021-01-01,2026-07-17,0,
OLAELEC,Downloaded,483,2024-08-09,2026-07-17,0,
OLECTRA,Downloaded,1372,2021-01-01,2026-07-17,0,
PAYTM,UpToDate,1155,2021-11-18,2026-07-17,0,Already up to date
ONESOURCE,Downloaded,368,2025-01-24,2026-07-17,0,
OFSS,Downloaded,1372,2021-01-01,2026-07-17,0,
POLICYBZR,UpToDate,1157,2021-11-15,2026-07-17,0,Already up to date
PCBL,Downloaded,1372,2021-01-01,2026-07-17,0,
PGEL,Downloaded,1372,2021-01-01,2026-07-17,0,
PIIND,Downloaded,1372,2021-01-01,2026-07-17,0,
PNBHOUSING,Downloaded,1372,2021-01-01,2026-07-17,0,
PTCIL,Downloaded,768,2023-06-09,2026-07-17,0,
PVRINOX,UpToDate,892,2022-11-10,2026-07-17,0,Already up to date
PAGEIND,UpToDate,1370,2021-01-01,2026-07-17,0,Already up to date
PARADEEP,Downloaded,1026,2022-05-27,2026-07-17,0,
PATANJALI,Downloaded,1372,2021-01-01,2026-07-17,0,
PERSISTENT,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
PETRONET,Downloaded,1372,2021-01-01,2026-07-17,0,
PFIZER,Downloaded,1371,2021-01-01,2026-07-17,0,
PHOENIXLTD,Downloaded,1370,2021-01-01,2026-07-17,0,
PWL,Downloaded,167,2025-11-18,2026-07-17,0,
PIDILITIND,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
PINELABS,Downloaded,169,2025-11-14,2026-07-17,0,
PIRAMALFIN,Downloaded,174,2025-11-07,2026-07-17,0,
PPLPHARMA,Downloaded,927,2022-10-19,2026-07-17,0,
POLYMED,Downloaded,1372,2021-01-01,2026-07-17,0,
POLYCAB,Downloaded,1372,2021-01-01,2026-07-17,0,
POONAWALLA,Downloaded,1372,2021-01-01,2026-07-17,0,
PFC,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
POWERGRID,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
PREMIERENE,Downloaded,467,2024-09-03,2026-07-17,0,
PRESTIGE,Downloaded,1372,2021-01-01,2026-07-17,0,
PFOCUS,Downloaded,1371,2021-01-01,2026-07-17,0,
PNB,Downloaded,1372,2021-01-01,2026-07-17,0,
RRKABEL,Downloaded,697,2023-09-20,2026-07-17,0,
RBLBANK,Downloaded,1372,2021-01-01,2026-07-17,0,
RECLTD,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
RHIM,Downloaded,1371,2021-01-01,2026-07-17,0,
RITES,Downloaded,1372,2021-01-01,2026-07-17,0,
RADICO,Downloaded,1371,2021-01-01,2026-07-17,0,
RVNL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
RAILTEL,Downloaded,1333,2021-02-26,2026-07-17,0,
RAINBOW,UpToDate,1038,2022-05-10,2026-07-17,0,Already up to date
RKFORGE,Downloaded,1372,2021-01-01,2026-07-17,0,
REDINGTON,Downloaded,1372,2021-01-01,2026-07-17,0,
RELIANCE,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
RPOWER,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SBFC,Downloaded,722,2023-08-16,2026-07-17,0,
SBICARD,Downloaded,1372,2021-01-01,2026-07-17,0,
SBILIFE,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SJVN,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SRF,Downloaded,1372,2021-01-01,2026-07-17,0,
SAGILITY,Downloaded,418,2024-11-12,2026-07-17,0,
SAILIFE,Downloaded,394,2024-12-18,2026-07-17,0,
SAMMAANCAP,Downloaded,1372,2021-01-01,2026-07-17,0,
MOTHERSON,Downloaded,1372,2021-01-01,2026-07-17,0,
SAPPHIRE,UpToDate,1155,2021-11-18,2026-07-17,0,Already up to date
SARDAEN,Downloaded,1372,2021-01-01,2026-07-17,0,
SAREGAMA,Downloaded,1371,2021-01-01,2026-07-17,0,
SCHAEFFLER,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SCHNEIDER,Downloaded,1372,2021-01-01,2026-07-17,0,
SCI,Downloaded,1372,2021-01-01,2026-07-17,0,
SHREECEM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SHRIRAMFIN,Downloaded,1372,2021-01-01,2026-07-17,0,
SHYAMMETL,Downloaded,1255,2021-06-24,2026-07-17,0,
ENRIN,Downloaded,270,2025-06-19,2026-07-17,0,
SIEMENS,UpToDate,1371,2021-01-01,2026-07-17,0,Already up to date
SIGNATURE,Downloaded,692,2023-09-27,2026-07-17,0,
SOBHA,Downloaded,1371,2021-01-01,2026-07-17,0,
SOLARINDS,Downloaded,1371,2021-01-01,2026-07-17,0,
SONACOMS,UpToDate,1255,2021-06-24,2026-07-17,0,Already up to date
SONATSOFTW,Downloaded,1372,2021-01-01,2026-07-17,0,
STARHEALTH,Downloaded,1140,2021-12-10,2026-07-17,0,
SBIN,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SAIL,Downloaded,1372,2021-01-01,2026-07-17,0,
SUMICHEM,Downloaded,1372,2021-01-01,2026-07-17,0,
SUNPHARMA,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SUNTV,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SUNDARMFIN,Downloaded,1372,2021-01-01,2026-07-17,0,
SUPREMEIND,Downloaded,1372,2021-01-01,2026-07-17,0,
SPLPETRO,Downloaded,1372,2021-01-01,2026-07-17,0,
SUZLON,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
SWANCORP,Downloaded,1372,2021-01-01,2026-07-17,0,
SWIGGY,Downloaded,417,2024-11-13,2026-07-17,0,
SYNGENE,Downloaded,1372,2021-01-01,2026-07-17,0,
SYRMA,UpToDate,963,2022-08-26,2026-07-17,0,Already up to date
TBOTEK,Downloaded,542,2024-05-15,2026-07-17,0,
TVSMOTOR,Downloaded,1372,2021-01-01,2026-07-17,0,
TATACAP,Downloaded,191,2025-10-13,2026-07-17,0,
TATACHEM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TATACOMM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TCS,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TATACONSUM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TATAELXSI,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TATAINVEST,Downloaded,1372,2021-01-01,2026-07-17,0,
TMCV,Downloaded,171,2025-11-12,2026-07-17,0,
TMPV,Downloaded,1372,2021-01-01,2026-07-17,0,
TATAPOWER,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TATASTEEL,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TATATECH,Downloaded,652,2023-11-30,2026-07-17,0,
TTML,Downloaded,1372,2021-01-01,2026-07-17,0,
TECHM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TECHNOE,Downloaded,1372,2021-01-01,2026-07-17,0,
TEGA,Downloaded,1138,2021-12-13,2026-07-17,0,
TEJASNET,Downloaded,1372,2021-01-01,2026-07-17,0,
TENNIND,Downloaded,166,2025-11-19,2026-07-17,0,
NIACL,Downloaded,1372,2021-01-01,2026-07-17,0,
RAMCOCEM,Downloaded,1371,2021-01-01,2026-07-17,0,
THERMAX,Downloaded,1371,2021-01-01,2026-07-17,0,
TIMKEN,UpToDate,1371,2021-01-01,2026-07-17,0,Already up to date
TITAGARH,Downloaded,1372,2021-01-01,2026-07-17,0,
TITAN,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TORNTPHARM,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TORNTPOWER,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TARIL,Downloaded,1372,2021-01-01,2026-07-17,0,
TRAVELFOOD,Downloaded,253,2025-07-14,2026-07-17,0,
TRENT,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
TRIDENT,Downloaded,1372,2021-01-01,2026-07-17,0,
TRITURBINE,Downloaded,1372,2021-01-01,2026-07-17,0,
TIINDIA,UpToDate,1372,2021-01-01,2026-07-17,0,Already up to date
